num_ordre;ref_matiere;quantite_prevue;quantite_utilisee;unite
OF-2026-0499;RES-001;12.7;12.7;L
OF-2026-0499;VIS-001;207.5;207.5;piece
OF-2026-0499;PEI-001;16.6;16.6;L
OF-2024-0500;ALU-001;29.7;29.7;m2
OF-2024-0500;VIS-001;378.7;378.7;piece
OF-2024-0500;ETR-001;11.9;11.9;m
OF-2024-0500;PEI-001;15.2;15.2;L
OF-2024-0501;BOIS-002;7.0;7.0;m2
OF-2024-0501;ALU-001;20.2;20.2;m2
OF-2024-0501;CAR-001;6.6;6.6;m2
OF-2024-0501;VIS-001;375.4;375.4;piece
OF-2024-0502;CAR-001;5.8;5.8;m2
OF-2024-0502;VIS-001;94.6;94.6;piece
OF-2024-0502;FIL-001;4.6;4.6;bobine
OF-2024-0502;MAS-001;19.2;19.2;L
OF-2026-0503;BOIS-001;5.8;5.8;m3
OF-2026-0503;ALU-001;34.4;34.4;m2
OF-2026-0503;VIS-001;482.3;482.3;piece
OF-2026-0503;ETR-001;25.8;25.8;m
OF-2026-0503;PEI-001;37.5;37.5;L
OF-2023-0504;ALU-001;17.2;17.2;m2
OF-2023-0504;VIS-001;241.7;241.7;piece
OF-2023-0504;ETR-001;15.9;15.9;m
OF-2023-0504;PEI-001;12.1;12.1;L
OF-2024-0505;BOIS-002;7.1;7.1;m2
OF-2024-0505;ALU-001;12.6;12.6;m2
OF-2024-0505;VIS-001;195.1;195.1;piece
OF-2024-0505;MAS-001;8.2;8.2;L
OF-2024-0506;CAR-001;3.9;3.9;m2
OF-2024-0506;VIS-001;79.6;79.6;piece
OF-2024-0506;FIL-001;3.7;3.7;bobine
OF-2025-0507;BOIS-001;2.5;2.5;m3
OF-2025-0507;RES-001;10.4;10.4;L
OF-2025-0507;VIS-001;112.9;112.9;piece
OF-2025-0507;PEI-001;6.3;6.3;L
OF-2026-0508;BOIS-002;5.1;5.1;m2
OF-2026-0508;RES-001;5.4;5.4;L
OF-2026-0508;VIS-001;69.5;69.5;piece
OF-2023-0509;ALU-001;13.8;13.8;m2
OF-2023-0509;VIS-001;152.7;152.7;piece
OF-2023-0509;FIL-001;2.4;2.4;bobine
OF-2023-0509;PEI-001;9.3;9.3;L
OF-2024-0510;BOIS-001;7.2;7.2;m3
OF-2024-0510;ALU-001;27.7;27.7;m2
OF-2024-0510;VIS-001;441.2;441.2;piece
OF-2024-0510;ETR-001;22.6;22.6;m
OF-2024-0510;PEI-001;42.9;42.9;L
OF-2026-0511;BOIS-001;3.7;3.7;m3
OF-2026-0511;RES-001;12.6;12.6;L
OF-2026-0511;VIS-001;223.5;223.5;piece
OF-2026-0511;PEI-001;21.1;21.1;L
OF-2026-0512;ALU-001;26.7;26.7;m2
OF-2026-0512;VIS-001;231.5;231.5;piece
OF-2026-0512;ETR-001;18.8;18.8;m
OF-2026-0512;PEI-001;13.7;13.7;L
OF-2024-0513;BOIS-002;6.1;6.1;m2
OF-2024-0513;ALU-001;22.6;22.6;m2
OF-2024-0513;CAR-001;4.4;4.4;m2
OF-2024-0513;VIS-001;385.0;385.0;piece
OF-2023-0514;CAR-001;3.1;3.1;m2
OF-2023-0514;VIS-001;92.6;92.6;piece
OF-2023-0514;FIL-001;4.2;4.2;bobine
OF-2023-0514;MAS-001;19.6;19.6;L
OF-2023-0515;BOIS-001;4.8;4.8;m3
OF-2023-0515;ALU-001;46.6;46.6;m2
OF-2023-0515;VIS-001;365.1;365.1;piece
OF-2023-0515;ETR-001;23.2;23.2;m
OF-2023-0515;PEI-001;38.0;38.0;L
OF-2026-0516;ALU-001;16.0;16.0;m2
OF-2026-0516;VIS-001;145.2;145.2;piece
OF-2026-0516;ETR-001;15.1;15.1;m
OF-2026-0516;PEI-001;8.3;8.3;L
OF-2025-0517;BOIS-002;4.8;3.6;m2
OF-2025-0517;ALU-001;11.8;8.8;m2
OF-2025-0517;VIS-001;258.6;192.2;piece
OF-2025-0517;MAS-001;9.3;6.9;L
OF-2024-0518;CAR-001;3.7;3.7;m2
OF-2024-0518;VIS-001;86.4;86.4;piece
OF-2024-0518;FIL-001;3.1;3.1;bobine
OF-2026-0519;BOIS-001;2.9;2.9;m3
OF-2026-0519;RES-001;6.2;6.2;L
OF-2026-0519;VIS-001;111.8;111.8;piece
OF-2026-0519;PEI-001;11.6;11.6;L
OF-2024-0520;BOIS-002;3.3;3.3;m2
OF-2024-0520;RES-001;6.4;6.4;L
OF-2024-0520;VIS-001;104.3;104.3;piece
OF-2024-0521;ALU-001;9.3;9.3;m2
OF-2024-0521;VIS-001;186.1;186.1;piece
OF-2024-0521;FIL-001;2.5;2.5;bobine
OF-2024-0521;PEI-001;12.0;12.0;L
OF-2025-0522;BOIS-001;7.9;7.9;m3
OF-2025-0522;ALU-001;33.4;33.4;m2
OF-2025-0522;VIS-001;385.8;385.8;piece
OF-2025-0522;ETR-001;21.9;21.9;m
OF-2025-0522;PEI-001;38.6;38.6;L
OF-2025-0523;BOIS-001;2.9;2.9;m3
OF-2025-0523;RES-001;9.2;9.2;L
OF-2025-0523;VIS-001;246.7;246.7;piece
OF-2025-0523;PEI-001;18.6;18.6;L
OF-2024-0524;ALU-001;21.8;1.3;m2
OF-2024-0524;VIS-001;200.1;12.0;piece
OF-2024-0524;ETR-001;18.6;1.1;m
OF-2024-0524;PEI-001;14.3;0.9;L
OF-2023-0525;BOIS-002;9.0;9.0;m2
OF-2023-0525;ALU-001;32.7;32.7;m2
OF-2023-0525;CAR-001;4.1;4.1;m2
OF-2023-0525;VIS-001;308.9;308.9;piece
OF-2023-0526;CAR-001;3.1;2.7;m2
OF-2023-0526;VIS-001;93.0;81.4;piece
OF-2023-0526;FIL-001;3.2;2.8;bobine
OF-2023-0526;MAS-001;13.7;12.0;L
OF-2024-0527;BOIS-001;4.8;4.8;m3
OF-2024-0527;ALU-001;41.4;41.4;m2
OF-2024-0527;VIS-001;358.6;358.6;piece
OF-2024-0527;ETR-001;18.4;18.4;m
OF-2024-0527;PEI-001;38.5;38.5;L
OF-2025-0528;ALU-001;12.1;12.1;m2
OF-2025-0528;VIS-001;141.8;141.8;piece
OF-2025-0528;ETR-001;10.9;10.9;m
OF-2025-0528;PEI-001;8.3;8.3;L
OF-2025-0529;BOIS-002;4.5;0.0;m2
OF-2025-0529;ALU-001;18.8;0.0;m2
OF-2025-0529;VIS-001;179.4;0.0;piece
OF-2025-0529;MAS-001;10.4;0.0;L
OF-2025-0530;CAR-001;3.2;1.7;m2
OF-2025-0530;VIS-001;108.8;58.2;piece
OF-2025-0530;FIL-001;3.6;1.9;bobine
OF-2024-0531;BOIS-001;2.8;1.1;m3
OF-2024-0531;RES-001;7.8;3.0;L
OF-2024-0531;VIS-001;99.7;38.7;piece
OF-2024-0531;PEI-001;11.5;4.5;L
OF-2025-0532;BOIS-002;4.7;4.7;m2
OF-2025-0532;RES-001;7.0;7.0;L
OF-2025-0532;VIS-001;120.0;120.0;piece
OF-2024-0533;ALU-001;8.6;8.6;m2
OF-2024-0533;VIS-001;188.0;188.0;piece
OF-2024-0533;FIL-001;2.2;2.2;bobine
OF-2024-0533;PEI-001;13.5;13.5;L
OF-2025-0534;BOIS-001;5.4;5.4;m3
OF-2025-0534;ALU-001;28.6;28.6;m2
OF-2025-0534;VIS-001;399.3;399.3;piece
OF-2025-0534;ETR-001;23.0;23.0;m
OF-2025-0534;PEI-001;39.6;39.6;L
OF-2024-0535;BOIS-001;3.8;0.4;m3
OF-2024-0535;RES-001;10.7;1.3;L
OF-2024-0535;VIS-001;239.3;28.3;piece
OF-2024-0535;PEI-001;23.7;2.8;L
OF-2023-0536;ALU-001;24.3;24.3;m2
OF-2023-0536;VIS-001;359.4;359.4;piece
OF-2023-0536;ETR-001;15.9;15.9;m
OF-2023-0536;PEI-001;11.8;11.8;L
OF-2026-0537;BOIS-002;7.9;7.9;m2
OF-2026-0537;ALU-001;23.5;23.5;m2
OF-2026-0537;CAR-001;5.6;5.6;m2
OF-2026-0537;VIS-001;488.8;488.8;piece
OF-2024-0538;CAR-001;3.8;3.8;m2
OF-2024-0538;VIS-001;87.2;87.2;piece
OF-2024-0538;FIL-001;5.7;5.7;bobine
OF-2024-0538;MAS-001;17.0;17.0;L
OF-2025-0539;BOIS-001;4.0;4.0;m3
OF-2025-0539;ALU-001;41.9;41.9;m2
OF-2025-0539;VIS-001;515.0;515.0;piece
OF-2025-0539;ETR-001;28.2;28.2;m
OF-2025-0539;PEI-001;38.5;38.5;L
OF-2025-0540;ALU-001;13.7;13.7;m2
OF-2025-0540;VIS-001;133.8;133.8;piece
OF-2025-0540;ETR-001;10.8;10.8;m
OF-2025-0540;PEI-001;9.6;9.6;L
OF-2025-0541;BOIS-002;5.1;5.1;m2
OF-2025-0541;ALU-001;17.2;17.2;m2
OF-2025-0541;VIS-001;168.1;168.1;piece
OF-2025-0541;MAS-001;12.1;12.1;L
OF-2023-0542;CAR-001;3.0;3.0;m2
OF-2023-0542;VIS-001;95.5;95.5;piece
OF-2023-0542;FIL-001;3.3;3.3;bobine
OF-2024-0543;BOIS-001;2.5;2.5;m3
OF-2024-0543;RES-001;7.5;7.5;L
OF-2024-0543;VIS-001;90.5;90.5;piece
OF-2024-0543;PEI-001;11.8;11.8;L
OF-2024-0544;BOIS-002;4.8;0.0;m2
OF-2024-0544;RES-001;6.9;0.0;L
OF-2024-0544;VIS-001;118.1;0.0;piece
OF-2024-0545;ALU-001;11.0;11.0;m2
OF-2024-0545;VIS-001;163.4;163.4;piece
OF-2024-0545;FIL-001;4.5;4.5;bobine
OF-2024-0545;PEI-001;9.4;9.4;L
OF-2024-0546;BOIS-001;5.3;5.3;m3
OF-2024-0546;ALU-001;38.1;38.1;m2
OF-2024-0546;VIS-001;488.6;488.6;piece
OF-2024-0546;ETR-001;22.5;22.5;m
OF-2024-0546;PEI-001;39.3;39.3;L
OF-2024-0547;BOIS-001;3.3;3.3;m3
OF-2024-0547;RES-001;13.5;13.5;L
OF-2024-0547;VIS-001;203.9;203.9;piece
OF-2024-0547;PEI-001;20.3;20.3;L
OF-2024-0548;ALU-001;25.7;25.7;m2
OF-2024-0548;VIS-001;295.6;295.6;piece
OF-2024-0548;ETR-001;14.0;14.0;m
OF-2024-0548;PEI-001;11.7;11.7;L
OF-2024-0549;BOIS-002;7.4;7.4;m2
OF-2024-0549;ALU-001;33.9;33.9;m2
OF-2024-0549;CAR-001;7.4;7.4;m2
OF-2024-0549;VIS-001;427.5;427.5;piece
OF-2025-0550;CAR-001;4.7;4.7;m2
OF-2025-0550;VIS-001;92.1;92.1;piece
OF-2025-0550;FIL-001;5.6;5.6;bobine
OF-2025-0550;MAS-001;10.1;10.1;L
OF-2023-0551;BOIS-001;4.5;4.5;m3
OF-2023-0551;ALU-001;47.7;47.7;m2
OF-2023-0551;VIS-001;425.0;425.0;piece
OF-2023-0551;ETR-001;17.6;17.6;m
OF-2023-0551;PEI-001;31.2;31.2;L
OF-2024-0552;ALU-001;20.5;20.5;m2
OF-2024-0552;VIS-001;142.0;142.0;piece
OF-2024-0552;ETR-001;9.3;9.3;m
OF-2024-0552;PEI-001;14.5;14.5;L
OF-2023-0553;BOIS-002;7.2;7.2;m2
OF-2023-0553;ALU-001;16.1;16.1;m2
OF-2023-0553;VIS-001;235.2;235.2;piece
OF-2023-0553;MAS-001;10.8;10.8;L
OF-2026-0554;CAR-001;2.0;2.0;m2
OF-2026-0554;VIS-001;115.1;115.1;piece
OF-2026-0554;FIL-001;3.8;3.8;bobine
OF-2023-0555;BOIS-001;1.6;0.3;m3
OF-2023-0555;RES-001;11.0;2.2;L
OF-2023-0555;VIS-001;131.8;26.4;piece
OF-2023-0555;PEI-001;6.1;1.2;L
OF-2024-0556;BOIS-002;4.7;0.0;m2
OF-2024-0556;RES-001;5.0;0.0;L
OF-2024-0556;VIS-001;105.8;0.0;piece
OF-2024-0557;ALU-001;8.7;8.7;m2
OF-2024-0557;VIS-001;195.0;195.0;piece
OF-2024-0557;FIL-001;2.7;2.7;bobine
OF-2024-0557;PEI-001;14.0;14.0;L
OF-2023-0558;BOIS-001;6.5;6.5;m3
OF-2023-0558;ALU-001;25.6;25.6;m2
OF-2023-0558;VIS-001;380.0;380.0;piece
OF-2023-0558;ETR-001;26.0;26.0;m
OF-2023-0558;PEI-001;48.5;48.5;L
OF-2025-0559;BOIS-001;2.8;2.8;m3
OF-2025-0559;RES-001;9.5;9.5;L
OF-2025-0559;VIS-001;228.9;228.9;piece
OF-2025-0559;PEI-001;24.4;24.4;L
OF-2023-0560;ALU-001;21.9;21.9;m2
OF-2023-0560;VIS-001;240.0;240.0;piece
OF-2023-0560;ETR-001;14.2;14.2;m
OF-2023-0560;PEI-001;14.4;14.4;L
OF-2025-0561;BOIS-002;6.8;0.0;m2
OF-2025-0561;ALU-001;33.0;0.0;m2
OF-2025-0561;CAR-001;4.8;0.0;m2
OF-2025-0561;VIS-001;382.1;0.0;piece
OF-2023-0562;CAR-001;5.9;1.0;m2
OF-2023-0562;VIS-001;101.0;16.7;piece
OF-2023-0562;FIL-001;5.8;1.0;bobine
OF-2023-0562;MAS-001;17.2;2.8;L
OF-2025-0563;BOIS-001;6.7;6.7;m3
OF-2025-0563;ALU-001;33.9;33.9;m2
OF-2025-0563;VIS-001;394.7;394.7;piece
OF-2025-0563;ETR-001;22.0;22.0;m
OF-2025-0563;PEI-001;38.4;38.4;L
OF-2025-0564;ALU-001;20.6;20.6;m2
OF-2025-0564;VIS-001;147.1;147.1;piece
OF-2025-0564;ETR-001;10.0;10.0;m
OF-2025-0564;PEI-001;10.0;10.0;L
OF-2023-0565;BOIS-002;5.3;5.3;m2
OF-2023-0565;ALU-001;13.4;13.4;m2
OF-2023-0565;VIS-001;216.5;216.5;piece
OF-2023-0565;MAS-001;11.1;11.1;L
OF-2023-0566;CAR-001;2.6;2.6;m2
OF-2023-0566;VIS-001;71.0;71.0;piece
OF-2023-0566;FIL-001;3.8;3.8;bobine
OF-2024-0567;BOIS-001;1.9;1.9;m3
OF-2024-0567;RES-001;7.6;7.6;L
OF-2024-0567;VIS-001;141.5;141.5;piece
OF-2024-0567;PEI-001;7.0;7.0;L
OF-2024-0568;BOIS-002;4.5;4.5;m2
OF-2024-0568;RES-001;5.6;5.6;L
OF-2024-0568;VIS-001;75.3;75.3;piece
OF-2023-0569;ALU-001;13.2;13.2;m2
OF-2023-0569;VIS-001;137.9;137.9;piece
OF-2023-0569;FIL-001;4.3;4.3;bobine
OF-2023-0569;PEI-001;10.9;10.9;L
OF-2023-0570;BOIS-001;5.6;5.6;m3
OF-2023-0570;ALU-001;31.5;31.5;m2
OF-2023-0570;VIS-001;441.2;441.2;piece
OF-2023-0570;ETR-001;20.9;20.9;m
OF-2023-0570;PEI-001;30.2;30.2;L
OF-2023-0571;BOIS-001;3.0;1.6;m3
OF-2023-0571;RES-001;14.6;8.0;L
OF-2023-0571;VIS-001;176.2;96.0;piece
OF-2023-0571;PEI-001;18.9;10.3;L
OF-2024-0572;ALU-001;23.7;23.7;m2
OF-2024-0572;VIS-001;244.1;244.1;piece
OF-2024-0572;ETR-001;15.3;15.3;m
OF-2024-0572;PEI-001;12.6;12.6;L
OF-2025-0573;BOIS-002;8.9;8.9;m2
OF-2025-0573;ALU-001;24.4;24.4;m2
OF-2025-0573;CAR-001;5.8;5.8;m2
OF-2025-0573;VIS-001;491.2;491.2;piece
OF-2024-0574;CAR-001;4.2;4.2;m2
OF-2024-0574;VIS-001;106.3;106.3;piece
OF-2024-0574;FIL-001;4.6;4.6;bobine
OF-2024-0574;MAS-001;14.5;14.5;L
OF-2025-0575;BOIS-001;4.4;4.4;m3
OF-2025-0575;ALU-001;47.5;47.5;m2
OF-2025-0575;VIS-001;538.8;538.8;piece
OF-2025-0575;ETR-001;21.1;21.1;m
OF-2025-0575;PEI-001;38.9;38.9;L
OF-2023-0576;ALU-001;17.2;17.2;m2
OF-2023-0576;VIS-001;226.1;226.1;piece
OF-2023-0576;ETR-001;14.0;14.0;m
OF-2023-0576;PEI-001;12.0;12.0;L
OF-2023-0577;BOIS-002;6.3;6.3;m2
OF-2023-0577;ALU-001;11.1;11.1;m2
OF-2023-0577;VIS-001;251.0;251.0;piece
OF-2023-0577;MAS-001;10.2;10.2;L
OF-2023-0578;CAR-001;2.6;0.0;m2
OF-2023-0578;VIS-001;74.2;0.0;piece
OF-2023-0578;FIL-001;2.8;0.0;bobine
OF-2025-0579;BOIS-001;2.6;2.6;m3
OF-2025-0579;RES-001;8.7;8.7;L
OF-2025-0579;VIS-001;153.2;153.2;piece
OF-2025-0579;PEI-001;9.6;9.6;L
OF-2024-0580;BOIS-002;4.9;4.9;m2
OF-2024-0580;RES-001;6.7;6.7;L
OF-2024-0580;VIS-001;61.3;61.3;piece
OF-2025-0581;ALU-001;9.3;9.3;m2
OF-2025-0581;VIS-001;118.3;118.3;piece
OF-2025-0581;FIL-001;3.2;3.2;bobine
OF-2025-0581;PEI-001;14.0;14.0;L
OF-2024-0582;BOIS-001;6.5;6.5;m3
OF-2024-0582;ALU-001;32.6;32.6;m2
OF-2024-0582;VIS-001;365.8;365.8;piece
OF-2024-0582;ETR-001;27.5;27.5;m
OF-2024-0582;PEI-001;36.6;36.6;L
OF-2023-0583;BOIS-001;2.4;2.4;m3
OF-2023-0583;RES-001;12.8;12.8;L
OF-2023-0583;VIS-001;175.4;175.4;piece
OF-2023-0583;PEI-001;20.2;20.2;L
OF-2026-0584;ALU-001;27.7;27.7;m2
OF-2026-0584;VIS-001;368.8;368.8;piece
OF-2026-0584;ETR-001;16.4;16.4;m
OF-2026-0584;PEI-001;15.7;15.7;L
OF-2024-0585;BOIS-002;7.0;7.0;m2
OF-2024-0585;ALU-001;32.8;32.8;m2
OF-2024-0585;CAR-001;5.7;5.7;m2
OF-2024-0585;VIS-001;440.0;440.0;piece
OF-2023-0586;CAR-001;4.2;4.2;m2
OF-2023-0586;VIS-001;94.4;94.4;piece
OF-2023-0586;FIL-001;5.5;5.5;bobine
OF-2023-0586;MAS-001;17.6;17.6;L
OF-2025-0587;BOIS-001;4.6;4.6;m3
OF-2025-0587;ALU-001;46.2;46.2;m2
OF-2025-0587;VIS-001;495.3;495.3;piece
OF-2025-0587;ETR-001;26.5;26.5;m
OF-2025-0587;PEI-001;32.6;32.6;L
OF-2023-0588;ALU-001;13.2;0.0;m2
OF-2023-0588;VIS-001;140.0;0.0;piece
OF-2023-0588;ETR-001;13.6;0.0;m
OF-2023-0588;PEI-001;14.8;0.0;L
OF-2024-0589;BOIS-002;7.0;7.0;m2
OF-2024-0589;ALU-001;19.2;19.2;m2
OF-2024-0589;VIS-001;219.4;219.4;piece
OF-2024-0589;MAS-001;13.8;13.8;L
OF-2024-0590;CAR-001;3.2;0.0;m2
OF-2024-0590;VIS-001;69.5;0.0;piece
OF-2024-0590;FIL-001;2.4;0.0;bobine
OF-2024-0591;BOIS-001;2.0;2.0;m3
OF-2024-0591;RES-001;11.9;11.9;L
OF-2024-0591;VIS-001;128.1;128.1;piece
OF-2024-0591;PEI-001;6.1;6.1;L
OF-2024-0592;BOIS-002;3.1;3.1;m2
OF-2024-0592;RES-001;5.5;5.5;L
OF-2024-0592;VIS-001;70.8;70.8;piece
OF-2025-0593;ALU-001;10.6;10.6;m2
OF-2025-0593;VIS-001;199.6;199.6;piece
OF-2025-0593;FIL-001;3.6;3.6;bobine
OF-2025-0593;PEI-001;14.7;14.7;L
OF-2024-0594;BOIS-001;7.4;7.4;m3
OF-2024-0594;ALU-001;35.5;35.5;m2
OF-2024-0594;VIS-001;456.6;456.6;piece
OF-2024-0594;ETR-001;30.4;30.4;m
OF-2024-0594;PEI-001;46.4;46.4;L
OF-2023-0595;BOIS-001;2.9;2.9;m3
OF-2023-0595;RES-001;14.0;14.0;L
OF-2023-0595;VIS-001;150.8;150.8;piece
OF-2023-0595;PEI-001;21.3;21.3;L
OF-2024-0596;ALU-001;22.9;20.4;m2
OF-2024-0596;VIS-001;372.7;332.8;piece
OF-2024-0596;ETR-001;17.6;15.7;m
OF-2024-0596;PEI-001;19.2;17.1;L
OF-2023-0597;BOIS-002;9.6;9.6;m2
OF-2023-0597;ALU-001;29.8;29.8;m2
OF-2023-0597;CAR-001;4.4;4.4;m2
OF-2023-0597;VIS-001;300.3;300.3;piece
OF-2026-0598;CAR-001;5.8;5.8;m2
OF-2026-0598;VIS-001;148.4;148.4;piece
OF-2026-0598;FIL-001;4.2;4.2;bobine
OF-2026-0598;MAS-001;13.0;13.0;L
OF-2026-0599;BOIS-001;5.6;5.6;m3
OF-2026-0599;ALU-001;48.0;48.0;m2
OF-2026-0599;VIS-001;590.2;590.2;piece
OF-2026-0599;ETR-001;16.0;16.0;m
OF-2026-0599;PEI-001;27.4;27.4;L
OF-2024-0600;ALU-001;18.5;18.5;m2
OF-2024-0600;VIS-001;220.2;220.2;piece
OF-2024-0600;ETR-001;14.7;14.7;m
OF-2024-0600;PEI-001;13.9;13.9;L
OF-2025-0601;BOIS-002;4.6;4.6;m2
OF-2025-0601;ALU-001;15.1;15.1;m2
OF-2025-0601;VIS-001;225.3;225.3;piece
OF-2025-0601;MAS-001;10.4;10.4;L
OF-2024-0602;CAR-001;2.2;0.4;m2
OF-2024-0602;VIS-001;92.4;16.6;piece
OF-2024-0602;FIL-001;2.8;0.5;bobine
OF-2023-0603;BOIS-001;1.8;0.0;m3
OF-2023-0603;RES-001;8.8;0.0;L
OF-2023-0603;VIS-001;111.4;0.0;piece
OF-2023-0603;PEI-001;6.1;0.0;L
OF-2023-0604;BOIS-002;4.9;4.9;m2
OF-2023-0604;RES-001;5.8;5.8;L
OF-2023-0604;VIS-001;98.1;98.1;piece
OF-2024-0605;ALU-001;9.9;9.9;m2
OF-2024-0605;VIS-001;132.6;132.6;piece
OF-2024-0605;FIL-001;3.8;3.8;bobine
OF-2024-0605;PEI-001;12.4;12.4;L
OF-2024-0606;BOIS-001;7.7;0.0;m3
OF-2024-0606;ALU-001;26.2;0.0;m2
OF-2024-0606;VIS-001;302.2;0.0;piece
OF-2024-0606;ETR-001;31.2;0.0;m
OF-2024-0606;PEI-001;46.2;0.0;L
OF-2024-0607;BOIS-001;2.8;2.8;m3
OF-2024-0607;RES-001;8.1;8.1;L
OF-2024-0607;VIS-001;163.5;163.5;piece
OF-2024-0607;PEI-001;24.3;24.3;L
OF-2024-0608;ALU-001;17.7;17.7;m2
OF-2024-0608;VIS-001;381.9;381.9;piece
OF-2024-0608;ETR-001;15.7;15.7;m
OF-2024-0608;PEI-001;14.1;14.1;L
OF-2023-0609;BOIS-002;6.0;6.0;m2
OF-2023-0609;ALU-001;33.8;33.8;m2
OF-2023-0609;CAR-001;5.2;5.2;m2
OF-2023-0609;VIS-001;375.1;375.1;piece
OF-2024-0610;CAR-001;3.7;1.7;m2
OF-2024-0610;VIS-001;133.5;59.7;piece
OF-2024-0610;FIL-001;3.8;1.7;bobine
OF-2024-0610;MAS-001;17.5;7.8;L
OF-2026-0611;BOIS-001;6.6;6.6;m3
OF-2026-0611;ALU-001;46.5;46.5;m2
OF-2026-0611;VIS-001;418.0;418.0;piece
OF-2026-0611;ETR-001;28.2;28.2;m
OF-2026-0611;PEI-001;32.7;32.7;L
OF-2024-0612;ALU-001;14.5;14.5;m2
OF-2024-0612;VIS-001;168.0;168.0;piece
OF-2024-0612;ETR-001;15.5;15.5;m
OF-2024-0612;PEI-001;10.8;10.8;L
OF-2024-0613;BOIS-002;4.2;4.2;m2
OF-2024-0613;ALU-001;14.0;14.0;m2
OF-2024-0613;VIS-001;210.3;210.3;piece
OF-2024-0613;MAS-001;13.4;13.4;L
OF-2025-0614;CAR-001;2.7;2.7;m2
OF-2025-0614;VIS-001;78.6;78.6;piece
OF-2025-0614;FIL-001;3.6;3.6;bobine
OF-2024-0615;BOIS-001;1.8;1.8;m3
OF-2024-0615;RES-001;9.1;9.1;L
OF-2024-0615;VIS-001;94.8;94.8;piece
OF-2024-0615;PEI-001;11.8;11.8;L
OF-2024-0616;BOIS-002;3.2;3.2;m2
OF-2024-0616;RES-001;5.8;5.8;L
OF-2024-0616;VIS-001;115.9;115.9;piece
OF-2025-0617;ALU-001;12.3;12.3;m2
OF-2025-0617;VIS-001;159.0;159.0;piece
OF-2025-0617;FIL-001;4.7;4.7;bobine
OF-2025-0617;PEI-001;12.2;12.2;L
OF-2024-0618;BOIS-001;7.3;3.8;m3
OF-2024-0618;ALU-001;36.0;18.8;m2
OF-2024-0618;VIS-001;473.0;247.2;piece
OF-2024-0618;ETR-001;26.0;13.6;m
OF-2024-0618;PEI-001;40.3;21.1;L
OF-2026-0619;BOIS-001;3.8;3.8;m3
OF-2026-0619;RES-001;11.0;11.0;L
OF-2026-0619;VIS-001;195.2;195.2;piece
OF-2026-0619;PEI-001;17.5;17.5;L
OF-2024-0620;ALU-001;16.4;16.4;m2
OF-2024-0620;VIS-001;240.0;240.0;piece
OF-2024-0620;ETR-001;15.3;15.3;m
OF-2024-0620;PEI-001;11.9;11.9;L
OF-2023-0621;BOIS-002;6.1;6.1;m2
OF-2023-0621;ALU-001;33.5;33.5;m2
OF-2023-0621;CAR-001;5.2;5.2;m2
OF-2023-0621;VIS-001;309.9;309.9;piece
OF-2026-0622;CAR-001;5.2;5.2;m2
OF-2026-0622;VIS-001;126.3;126.3;piece
OF-2026-0622;FIL-001;5.6;5.6;bobine
OF-2026-0622;MAS-001;18.7;18.7;L
OF-2023-0623;BOIS-001;4.6;4.6;m3
OF-2023-0623;ALU-001;46.2;46.2;m2
OF-2023-0623;VIS-001;473.9;473.9;piece
OF-2023-0623;ETR-001;17.3;17.3;m
OF-2023-0623;PEI-001;34.5;34.5;L
OF-2026-0624;ALU-001;20.3;20.3;m2
OF-2026-0624;VIS-001;169.9;169.9;piece
OF-2026-0624;ETR-001;9.3;9.3;m
OF-2026-0624;PEI-001;13.5;13.5;L
OF-2024-0625;BOIS-002;4.2;4.2;m2
OF-2024-0625;ALU-001;11.8;11.8;m2
OF-2024-0625;VIS-001;193.8;193.8;piece
OF-2024-0625;MAS-001;9.6;9.6;L
OF-2026-0626;CAR-001;3.1;3.1;m2
OF-2026-0626;VIS-001;97.2;97.2;piece
OF-2026-0626;FIL-001;2.3;2.3;bobine
OF-2023-0627;BOIS-001;1.5;1.4;m3
OF-2023-0627;RES-001;8.8;8.2;L
OF-2023-0627;VIS-001;109.2;102.3;piece
OF-2023-0627;PEI-001;9.8;9.2;L
OF-2023-0628;BOIS-002;3.3;3.3;m2
OF-2023-0628;RES-001;6.1;6.1;L
OF-2023-0628;VIS-001;94.3;94.3;piece
OF-2026-0629;ALU-001;10.2;10.2;m2
OF-2026-0629;VIS-001;179.5;179.5;piece
OF-2026-0629;FIL-001;2.9;2.9;bobine
OF-2026-0629;PEI-001;9.8;9.8;L
OF-2024-0630;BOIS-001;6.4;6.4;m3
OF-2024-0630;ALU-001;34.3;34.3;m2
OF-2024-0630;VIS-001;470.1;470.1;piece
OF-2024-0630;ETR-001;21.5;21.5;m
OF-2024-0630;PEI-001;31.0;31.0;L
OF-2026-0631;BOIS-001;3.0;3.0;m3
OF-2026-0631;RES-001;14.8;14.8;L
OF-2026-0631;VIS-001;159.3;159.3;piece
OF-2026-0631;PEI-001;19.2;19.2;L
OF-2024-0632;ALU-001;23.9;23.9;m2
OF-2024-0632;VIS-001;303.1;303.1;piece
OF-2024-0632;ETR-001;11.9;11.9;m
OF-2024-0632;PEI-001;14.6;14.6;L
OF-2024-0633;BOIS-002;9.4;9.4;m2
OF-2024-0633;ALU-001;24.7;24.7;m2
OF-2024-0633;CAR-001;7.4;7.4;m2
OF-2024-0633;VIS-001;357.3;357.3;piece
OF-2023-0634;CAR-001;4.3;4.3;m2
OF-2023-0634;VIS-001;147.1;147.1;piece
