num_ordre;num_commande;ref_bateau;date_creation;date_debut_prevue;date_fin_prevue;temps_production_estime_h;temps_production_reel_h;statut
OF-2023-0231;CMD-2025-0231;BAT-2023-0231;2023-04-29;2023-05-06;2023-07-17;577;577;TERMINE
OF-2025-0232;CMD-2025-0232;BAT-2025-0232;2022-11-01;2022-11-08;2022-11-27;153;153;TERMINE
OF-2024-0233;CMD-2025-0233;BAT-2024-0233;2025-09-21;2025-10-10;2025-11-18;314;0;TERMINE
OF-2026-0234;CMD-2025-0234;BAT-2026-0234;2022-04-03;2022-04-21;2022-06-10;406;406;TERMINE
OF-2025-0235;CMD-2025-0235;BAT-2025-0235;2026-01-15;2026-01-30;2026-02-18;153;0;PLANIFIE
OF-2023-0236;CMD-2024-0236;BAT-2023-0236;2025-03-12;2025-04-09;2025-04-30;173;173;TERMINE
OF-2025-0237;CMD-2024-0237;BAT-2025-0237;2023-01-14;2023-01-22;2023-04-03;568;568;TERMINE
OF-2023-0238;CMD-2025-0238;BAT-2023-0238;2022-05-26;2022-06-21;2022-09-02;588;588;TERMINE
OF-2024-0239;CMD-2025-0239;BAT-2024-0239;2025-03-16;2025-03-30;2025-06-03;520;0;TERMINE
OF-2026-0240;CMD-2024-0240;BAT-2026-0240;2023-03-18;2023-03-27;2023-04-27;248;248;TERMINE
OF-2024-0241;CMD-2025-0241;BAT-2024-0241;2022-09-28;2022-10-19;2022-12-17;478;478;TERMINE
OF-2026-0242;CMD-2025-0242;BAT-2026-0242;2025-08-21;2025-09-14;2025-11-16;510;131;EN_COURS
OF-2024-0243;CMD-2024-0243;BAT-2024-0243;2023-02-20;2023-03-02;2023-03-23;173;173;TERMINE
OF-2025-0244;CMD-2024-0244;BAT-2025-0244;2023-01-08;2023-01-22;2023-02-16;207;207;TERMINE
OF-2023-0245;CMD-2023-0245;BAT-2023-0245;2023-12-16;2024-01-07;2024-03-05;467;467;TERMINE
OF-2026-0246;CMD-2023-0246;BAT-2026-0246;2022-01-15;2022-02-13;2022-03-01;131;131;TERMINE
OF-2025-0247;CMD-2024-0247;BAT-2025-0247;2024-10-13;2024-11-01;2024-12-19;384;384;TERMINE
OF-2024-0248;CMD-2025-0248;BAT-2024-0248;2024-02-29;2024-03-18;2024-05-21;516;516;TERMINE
OF-2025-0249;CMD-2026-0249;BAT-2025-0249;2025-12-02;2025-12-16;2026-02-24;561;48;EN_COURS
OF-2024-0250;CMD-2026-0250;BAT-2024-0250;2024-08-09;2024-08-30;2024-09-19;160;160;TERMINE
OF-2025-0251;CMD-2024-0251;BAT-2025-0251;2023-04-02;2023-04-19;2023-05-25;290;290;TERMINE
OF-2024-0252;CMD-2025-0252;BAT-2024-0252;2024-12-19;2024-12-31;2025-03-10;553;553;TERMINE
OF-2025-0253;CMD-2024-0253;BAT-2025-0253;2025-06-11;2025-06-27;2025-08-18;423;0;TERMINE
OF-2025-0254;CMD-2026-0254;BAT-2025-0254;2023-06-21;2023-07-07;2023-08-14;306;306;TERMINE
OF-2024-0255;CMD-2025-0255;BAT-2024-0255;2025-06-07;2025-06-17;2025-08-16;485;395;EN_COURS
OF-2026-0256;CMD-2026-0256;BAT-2026-0256;2023-08-07;2023-08-21;2023-10-04;356;356;TERMINE
OF-2024-0257;CMD-2024-0257;BAT-2024-0257;2022-10-27;2022-11-10;2022-11-26;128;128;TERMINE
OF-2024-0258;CMD-2025-0258;BAT-2024-0258;2025-03-24;2025-04-21;2025-06-04;356;0;PLANIFIE
OF-2024-0259;CMD-2026-0259;BAT-2024-0259;2022-05-06;2022-06-04;2022-07-06;257;257;TERMINE
OF-2025-0260;CMD-2026-0260;BAT-2025-0260;2023-01-30;2023-02-15;2023-04-18;502;502;TERMINE
OF-2023-0261;CMD-2024-0261;BAT-2023-0261;2023-05-16;2023-05-23;2023-06-07;123;123;TERMINE
OF-2024-0262;CMD-2023-0262;BAT-2024-0262;2026-01-21;2026-02-16;2026-03-26;308;0;PLANIFIE
OF-2024-0263;CMD-2025-0263;BAT-2024-0263;2022-08-24;2022-09-06;2022-11-14;552;552;TERMINE
OF-2025-0264;CMD-2024-0264;BAT-2025-0264;2025-07-10;2025-08-07;2025-10-16;562;0;PLANIFIE
OF-2024-0265;CMD-2024-0265;BAT-2024-0265;2022-05-21;2022-06-05;2022-07-31;449;449;TERMINE
OF-2023-0266;CMD-2024-0266;BAT-2023-0266;2023-04-02;2023-04-26;2023-06-22;459;459;TERMINE
OF-2025-0267;CMD-2025-0267;BAT-2025-0267;2022-11-19;2022-12-17;2023-01-13;218;218;TERMINE
OF-2025-0268;CMD-2025-0268;BAT-2025-0268;2023-03-02;2023-03-29;2023-04-21;190;190;TERMINE
OF-2025-0269;CMD-2025-0269;BAT-2025-0269;2024-10-30;2024-11-29;2025-01-28;485;485;TERMINE
OF-2024-0270;CMD-2024-0270;BAT-2024-0270;2025-03-11;2025-03-26;2025-05-23;470;470;TERMINE
OF-2024-0271;CMD-2025-0271;BAT-2024-0271;2022-05-12;2022-06-02;2022-07-15;349;349;TERMINE
OF-2024-0272;CMD-2024-0272;BAT-2024-0272;2025-01-03;2025-01-21;2025-02-06;128;128;TERMINE
OF-2025-0273;CMD-2025-0273;BAT-2025-0273;2023-01-07;2023-01-28;2023-03-22;424;424;TERMINE
OF-2024-0274;CMD-2025-0274;BAT-2024-0274;2022-01-20;2022-01-31;2022-02-12;96;96;TERMINE
OF-2023-0275;CMD-2026-0275;BAT-2023-0275;2023-04-16;2023-04-23;2023-05-31;304;304;TERMINE
OF-2025-0276;CMD-2025-0276;BAT-2025-0276;2024-07-23;2024-08-10;2024-08-21;90;90;TERMINE
OF-2025-0277;CMD-2026-0277;BAT-2025-0277;2023-05-26;2023-06-25;2023-07-12;138;138;TERMINE
OF-2024-0278;CMD-2026-0278;BAT-2024-0278;2023-04-18;2023-05-18;2023-06-30;344;344;TERMINE
OF-2024-0279;CMD-2025-0279;BAT-2024-0279;2022-04-06;2022-04-17;2022-06-03;383;383;TERMINE
OF-2023-0280;CMD-2024-0280;BAT-2023-0280;2022-07-06;2022-07-27;2022-08-26;246;246;TERMINE
OF-2025-0281;CMD-2026-0281;BAT-2025-0281;2022-04-30;2022-05-21;2022-07-22;503;503;TERMINE
OF-2026-0282;CMD-2023-0282;BAT-2026-0282;2025-08-08;2025-09-04;2025-11-16;587;276;EN_COURS
OF-2024-0283;CMD-2026-0283;BAT-2024-0283;2022-04-13;2022-05-02;2022-06-27;448;448;TERMINE
OF-2024-0284;CMD-2025-0284;BAT-2024-0284;2023-11-27;2023-12-20;2024-01-07;145;145;TERMINE
OF-2025-0285;CMD-2024-0285;BAT-2025-0285;2024-02-29;2024-03-19;2024-05-04;368;368;TERMINE
OF-2024-0286;CMD-2024-0286;BAT-2024-0286;2025-07-08;2025-07-21;2025-09-26;542;0;PLANIFIE
OF-2023-0287;CMD-2025-0287;BAT-2023-0287;2024-12-23;2025-01-13;2025-01-28;122;122;TERMINE
OF-2023-0288;CMD-2026-0288;BAT-2023-0288;2025-10-03;2025-10-12;2025-12-19;545;0;PLANIFIE
OF-2024-0289;CMD-2025-0289;BAT-2024-0289;2025-05-10;2025-05-21;2025-07-15;440;0;PLANIFIE
OF-2025-0290;CMD-2024-0290;BAT-2025-0290;2022-08-13;2022-09-04;2022-09-27;184;184;TERMINE
OF-2024-0291;CMD-2025-0291;BAT-2024-0291;2023-05-27;2023-06-10;2023-08-17;545;545;TERMINE
OF-2025-0292;CMD-2024-0292;BAT-2025-0292;2022-12-27;2023-01-15;2023-03-07;408;408;TERMINE
OF-2024-0293;CMD-2024-0293;BAT-2024-0293;2023-02-04;2023-03-06;2023-03-16;81;81;TERMINE
OF-2023-0294;CMD-2025-0294;BAT-2023-0294;2023-09-17;2023-10-10;2023-12-22;591;591;TERMINE
OF-2025-0295;CMD-2024-0295;BAT-2025-0295;2024-11-05;2024-12-03;2025-01-26;437;437;TERMINE
OF-2026-0296;CMD-2025-0296;BAT-2026-0296;2023-06-12;2023-07-08;2023-08-10;266;266;TERMINE
OF-2025-0297;CMD-2024-0297;BAT-2025-0297;2024-04-28;2024-05-12;2024-06-25;354;354;TERMINE
OF-2025-0298;CMD-2024-0298;BAT-2025-0298;2025-03-07;2025-03-18;2025-03-30;97;97;TERMINE
OF-2024-0299;CMD-2023-0299;BAT-2024-0299;2022-02-26;2022-03-25;2022-05-21;457;457;TERMINE
OF-2025-0300;CMD-2023-0300;BAT-2025-0300;2023-03-24;2023-04-01;2023-04-30;235;235;TERMINE
OF-2024-0301;CMD-2024-0301;BAT-2024-0301;2024-08-06;2024-09-03;2024-10-02;237;237;TERMINE
OF-2024-0302;CMD-2025-0302;BAT-2024-0302;2022-03-29;2022-04-18;2022-06-15;466;466;TERMINE
OF-2025-0303;CMD-2025-0303;BAT-2025-0303;2022-07-18;2022-07-31;2022-09-05;289;289;TERMINE
OF-2024-0304;CMD-2023-0304;BAT-2024-0304;2025-12-13;2025-12-25;2026-01-12;145;0;PLANIFIE
OF-2024-0305;CMD-2024-0305;BAT-2024-0305;2022-06-06;2022-06-24;2022-08-10;383;383;TERMINE
OF-2026-0306;CMD-2024-0306;BAT-2026-0306;2024-04-02;2024-04-18;2024-04-29;88;88;TERMINE
OF-2024-0307;CMD-2023-0307;BAT-2024-0307;2023-09-18;2023-09-29;2023-10-09;80;80;TERMINE
OF-2026-0308;CMD-2024-0308;BAT-2026-0308;2024-06-24;2024-07-21;2024-09-30;571;571;TERMINE
OF-2025-0309;CMD-2025-0309;BAT-2025-0309;2023-08-01;2023-08-20;2023-10-08;398;398;TERMINE
OF-2023-0310;CMD-2025-0310;BAT-2023-0310;2025-06-04;2025-06-15;2025-08-19;526;193;EN_COURS
OF-2024-0311;CMD-2024-0311;BAT-2024-0311;2022-12-01;2022-12-27;2023-02-07;339;339;TERMINE
OF-2023-0312;CMD-2023-0312;BAT-2023-0312;2022-07-04;2022-07-26;2022-10-01;537;537;TERMINE
OF-2024-0313;CMD-2025-0313;BAT-2024-0313;2025-03-24;2025-04-22;2025-05-14;178;178;TERMINE
OF-2024-0314;CMD-2024-0314;BAT-2024-0314;2024-06-03;2024-06-23;2024-08-24;499;499;TERMINE
OF-2023-0315;CMD-2026-0315;BAT-2023-0315;2022-01-12;2022-01-30;2022-03-06;281;281;TERMINE
OF-2023-0316;CMD-2025-0316;BAT-2023-0316;2023-10-21;2023-11-17;2023-12-02;127;127;TERMINE
OF-2024-0317;CMD-2023-0317;BAT-2024-0317;2025-01-31;2025-03-01;2025-03-11;81;81;TERMINE
OF-2024-0318;CMD-2025-0318;BAT-2024-0318;2025-09-13;2025-10-08;2025-10-25;143;0;PLANIFIE
OF-2024-0319;CMD-2025-0319;BAT-2024-0319;2023-04-11;2023-04-23;2023-05-29;291;291;TERMINE
OF-2025-0320;CMD-2025-0320;BAT-2025-0320;2022-06-20;2022-07-13;2022-09-04;424;424;TERMINE
OF-2025-0321;CMD-2025-0321;BAT-2025-0321;2022-12-29;2023-01-17;2023-03-26;545;545;TERMINE
OF-2023-0322;CMD-2025-0322;BAT-2023-0322;2023-01-24;2023-02-04;2023-04-19;597;597;TERMINE
OF-2024-0323;CMD-2023-0323;BAT-2024-0323;2023-12-17;2023-12-29;2024-03-07;552;552;TERMINE
OF-2025-0324;CMD-2024-0324;BAT-2025-0324;2024-09-14;2024-10-06;2024-12-04;474;474;TERMINE
OF-2024-0325;CMD-2023-0325;BAT-2024-0325;2022-01-13;2022-02-09;2022-03-03;182;182;TERMINE
OF-2025-0326;CMD-2024-0326;BAT-2025-0326;2022-08-28;2022-09-18;2022-12-01;595;595;TERMINE
OF-2024-0327;CMD-2025-0327;BAT-2024-0327;2025-01-13;2025-02-11;2025-03-31;386;386;TERMINE
OF-2024-0328;CMD-2024-0328;BAT-2024-0328;2025-12-07;2025-12-26;2026-02-22;465;366;EN_COURS
OF-2024-0329;CMD-2024-0329;BAT-2024-0329;2025-06-06;2025-06-24;2025-07-16;176;92;EN_COURS
OF-2024-0330;CMD-2025-0330;BAT-2024-0330;2023-12-05;2023-12-22;2024-01-29;308;308;TERMINE
OF-2024-0331;CMD-2025-0331;BAT-2024-0331;2025-04-01;2025-04-27;2025-05-09;103;103;TERMINE
OF-2024-0332;CMD-2023-0332;BAT-2024-0332;2022-05-09;2022-05-30;2022-07-29;485;485;TERMINE
OF-2026-0333;CMD-2025-0333;BAT-2026-0333;2023-06-07;2023-07-01;2023-08-25;440;440;TERMINE
OF-2024-0334;CMD-2024-0334;BAT-2024-0334;2022-08-19;2022-09-08;2022-11-16;553;553;TERMINE
OF-2025-0335;CMD-2023-0335;BAT-2025-0335;2025-04-05;2025-04-29;2025-05-22;189;189;TERMINE
OF-2024-0336;CMD-2023-0336;BAT-2024-0336;2025-09-19;2025-10-16;2025-12-15;483;0;PLANIFIE
OF-2024-0337;CMD-2025-0337;BAT-2024-0337;2024-03-27;2024-04-07;2024-06-14;549;549;TERMINE
OF-2024-0338;CMD-2026-0338;BAT-2024-0338;2023-07-09;2023-08-02;2023-09-13;338;338;TERMINE
OF-2024-0339;CMD-2024-0339;BAT-2024-0339;2025-09-25;2025-10-03;2025-11-24;417;0;TERMINE
OF-2026-0340;CMD-2023-0340;BAT-2026-0340;2023-06-21;2023-07-21;2023-08-13;188;188;TERMINE
OF-2026-0341;CMD-2026-0341;BAT-2026-0341;2024-01-29;2024-02-05;2024-02-21;128;128;TERMINE
OF-2025-0342;CMD-2024-0342;BAT-2025-0342;2022-07-28;2022-08-22;2022-10-16;444;444;TERMINE
OF-2024-0343;CMD-2024-0343;BAT-2024-0343;2024-06-16;2024-07-10;2024-08-26;381;381;TERMINE
OF-2023-0344;CMD-2023-0344;BAT-2023-0344;2025-08-31;2025-09-10;2025-11-19;563;434;EN_COURS
OF-2024-0345;CMD-2023-0345;BAT-2024-0345;2024-05-25;2024-06-12;2024-07-07;205;205;TERMINE
OF-2024-0346;CMD-2025-0346;BAT-2024-0346;2025-05-16;2025-06-11;2025-06-26;124;0;TERMINE
OF-2025-0347;CMD-2024-0347;BAT-2025-0347;2024-02-06;2024-02-18;2024-04-06;388;388;TERMINE
OF-2025-0348;CMD-2023-0348;BAT-2025-0348;2024-09-05;2024-09-16;2024-11-05;402;402;TERMINE
OF-2023-0349;CMD-2023-0349;BAT-2023-0349;2023-11-11;2023-11-25;2024-01-01;300;300;TERMINE
OF-2025-0350;CMD-2025-0350;BAT-2025-0350;2023-09-14;2023-10-08;2023-11-23;375;375;TERMINE
OF-2024-0351;CMD-2024-0351;BAT-2024-0351;2022-07-17;2022-07-31;2022-09-07;310;310;TERMINE
OF-2025-0352;CMD-2025-0352;BAT-2025-0352;2023-03-23;2023-04-02;2023-05-03;250;250;TERMINE
OF-2024-0353;CMD-2025-0353;BAT-2024-0353;2022-07-07;2022-07-16;2022-09-24;563;563;TERMINE
OF-2024-0354;CMD-2024-0354;BAT-2024-0354;2024-05-21;2024-06-05;2024-07-16;332;332;TERMINE
OF-2024-0355;CMD-2024-0355;BAT-2024-0355;2022-12-15;2023-01-12;2023-03-07;434;434;TERMINE
OF-2025-0356;CMD-2025-0356;BAT-2025-0356;2024-09-28;2024-10-16;2024-11-05;166;166;TERMINE
OF-2023-0357;CMD-2025-0357;BAT-2023-0357;2024-01-14;2024-01-30;2024-02-20;174;174;TERMINE
OF-2024-0358;CMD-2024-0358;BAT-2024-0358;2024-01-01;2024-01-12;2024-02-29;384;384;TERMINE
OF-2026-0359;CMD-2023-0359;BAT-2026-0359;2022-09-01;2022-09-19;2022-11-06;387;387;TERMINE
OF-2026-0360;CMD-2025-0360;BAT-2026-0360;2024-11-11;2024-12-05;2024-12-18;111;111;TERMINE
OF-2023-0361;CMD-2024-0361;BAT-2023-0361;2025-11-10;2025-11-23;2026-01-02;325;228;EN_COURS
OF-2023-0362;CMD-2025-0362;BAT-2023-0362;2023-12-24;2024-01-05;2024-03-16;571;571;TERMINE
OF-2024-0363;CMD-2023-0363;BAT-2024-0363;2023-10-10;2023-11-07;2023-11-25;144;144;TERMINE
OF-2024-0364;CMD-2023-0364;BAT-2024-0364;2023-11-02;2023-12-02;2024-01-09;311;311;TERMINE
OF-2023-0365;CMD-2025-0365;BAT-2023-0365;2023-12-31;2024-01-20;2024-03-31;569;569;TERMINE
OF-2026-0366;CMD-2023-0366;BAT-2026-0366;2024-02-15;2024-02-27;2024-04-27;487;487;TERMINE
OF-2024-0367;CMD-2024-0367;BAT-2024-0367;2024-02-10;2024-03-08;2024-05-12;520;520;TERMINE
OF-2023-0368;CMD-2024-0368;BAT-2023-0368;2025-11-13;2025-11-21;2025-12-15;194;0;PLANIFIE
OF-2024-0369;CMD-2025-0369;BAT-2024-0369;2025-11-01;2025-11-30;2026-01-22;428;58;EN_COURS
OF-2024-0370;CMD-2023-0370;BAT-2024-0370;2022-12-15;2023-01-11;2023-02-27;381;381;TERMINE
OF-2026-0371;CMD-2025-0371;BAT-2026-0371;2025-04-08;2025-04-26;2025-07-01;528;389;EN_COURS
OF-2024-0372;CMD-2026-0372;BAT-2024-0372;2024-11-27;2024-12-27;2025-01-20;193;193;TERMINE
OF-2023-0373;CMD-2025-0373;BAT-2023-0373;2022-10-09;2022-10-25;2022-11-28;272;272;TERMINE
OF-2024-0374;CMD-2025-0374;BAT-2024-0374;2023-06-22;2023-07-09;2023-07-31;181;181;TERMINE
OF-2024-0375;CMD-2025-0375;BAT-2024-0375;2024-12-07;2024-12-26;2025-01-18;187;187;TERMINE
OF-2025-0376;CMD-2024-0376;BAT-2025-0376;2024-06-08;2024-07-02;2024-07-26;196;196;TERMINE
OF-2023-0377;CMD-2024-0377;BAT-2023-0377;2023-07-18;2023-08-04;2023-08-15;91;91;TERMINE
OF-2024-0378;CMD-2024-0378;BAT-2024-0378;2022-08-04;2022-08-25;2022-11-02;559;559;TERMINE
OF-2024-0379;CMD-2023-0379;BAT-2024-0379;2024-02-05;2024-02-14;2024-04-04;400;400;TERMINE
OF-2025-0380;CMD-2025-0380;BAT-2025-0380;2023-02-04;2023-02-15;2023-04-16;484;484;TERMINE
OF-2023-0381;CMD-2025-0381;BAT-2023-0381;2022-01-22;2022-02-05;2022-03-03;208;208;TERMINE
OF-2025-0382;CMD-2025-0382;BAT-2025-0382;2022-03-28;2022-04-22;2022-05-09;140;140;TERMINE
OF-2023-0383;CMD-2025-0383;BAT-2023-0383;2023-08-04;2023-08-21;2023-09-07;142;142;TERMINE
OF-2026-0384;CMD-2023-0384;BAT-2026-0384;2023-02-26;2023-03-17;2023-05-17;491;491;TERMINE
OF-2025-0385;CMD-2026-0385;BAT-2025-0385;2025-03-09;2025-03-23;2025-04-28;294;294;TERMINE
OF-2025-0386;CMD-2025-0386;BAT-2025-0386;2024-05-31;2024-06-09;2024-08-04;455;455;TERMINE
OF-2025-0387;CMD-2025-0387;BAT-2025-0387;2024-02-09;2024-02-23;2024-05-05;579;579;TERMINE
OF-2024-0388;CMD-2024-0388;BAT-2024-0388;2024-03-15;2024-04-12;2024-04-27;123;123;TERMINE
OF-2024-0389;CMD-2023-0389;BAT-2024-0389;2024-07-24;2024-07-31;2024-08-30;242;242;TERMINE
OF-2024-0390;CMD-2023-0390;BAT-2024-0390;2023-08-28;2023-09-09;2023-09-29;164;164;TERMINE
OF-2023-0391;CMD-2025-0391;BAT-2023-0391;2025-06-30;2025-07-29;2025-10-06;552;219;EN_COURS
OF-2024-0392;CMD-2026-0392;BAT-2024-0392;2022-03-29;2022-04-16;2022-05-11;207;207;TERMINE
OF-2024-0393;CMD-2024-0393;BAT-2024-0393;2022-01-17;2022-02-01;2022-03-01;226;226;TERMINE
OF-2023-0394;CMD-2024-0394;BAT-2023-0394;2023-06-24;2023-07-21;2023-09-02;345;345;TERMINE
OF-2024-0395;CMD-2024-0395;BAT-2024-0395;2022-02-14;2022-03-11;2022-05-12;501;501;TERMINE
OF-2023-0396;CMD-2023-0396;BAT-2023-0396;2025-03-12;2025-03-24;2025-04-25;257;257;TERMINE
OF-2025-0397;CMD-2026-0397;BAT-2025-0397;2022-08-18;2022-09-16;2022-10-26;322;322;TERMINE
OF-2026-0398;CMD-2024-0398;BAT-2026-0398;2023-06-29;2023-07-12;2023-07-24;101;101;TERMINE
OF-2023-0399;CMD-2024-0399;BAT-2023-0399;2024-02-25;2024-03-11;2024-03-25;115;115;TERMINE
OF-2023-0400;CMD-2025-0400;BAT-2023-0400;2024-11-04;2024-11-26;2025-01-01;290;290;TERMINE
OF-2024-0401;CMD-2025-0401;BAT-2024-0401;2023-04-25;2023-05-08;2023-07-08;494;494;TERMINE
OF-2023-0402;CMD-2023-0402;BAT-2023-0402;2025-05-24;2025-05-31;2025-06-24;195;59;EN_COURS
OF-2025-0403;CMD-2025-0403;BAT-2025-0403;2022-09-30;2022-10-18;2022-11-30;350;350;TERMINE
OF-2024-0404;CMD-2024-0404;BAT-2024-0404;2022-06-24;2022-07-20;2022-08-03;115;115;TERMINE
OF-2023-0405;CMD-2023-0405;BAT-2023-0405;2022-04-26;2022-05-25;2022-08-06;586;586;TERMINE
OF-2024-0406;CMD-2025-0406;BAT-2024-0406;2025-02-02;2025-03-01;2025-03-20;157;157;TERMINE
OF-2024-0407;CMD-2024-0407;BAT-2024-0407;2022-10-23;2022-11-07;2023-01-15;556;556;TERMINE
OF-2025-0408;CMD-2024-0408;BAT-2025-0408;2023-02-24;2023-03-08;2023-04-09;261;261;TERMINE
OF-2024-0409;CMD-2025-0409;BAT-2024-0409;2022-01-29;2022-02-13;2022-03-22;299;299;TERMINE
OF-2024-0410;CMD-2023-0410;BAT-2024-0410;2023-09-18;2023-10-07;2023-12-11;521;521;TERMINE
OF-2024-0411;CMD-2024-0411;BAT-2024-0411;2025-01-23;2025-02-11;2025-04-19;539;539;TERMINE
OF-2025-0412;CMD-2024-0412;BAT-2025-0412;2023-04-30;2023-05-19;2023-07-21;504;504;TERMINE
OF-2023-0413;CMD-2024-0413;BAT-2023-0413;2022-01-21;2022-02-07;2022-04-17;556;556;TERMINE
OF-2025-0414;CMD-2025-0414;BAT-2025-0414;2025-02-27;2025-03-06;2025-03-19;106;106;TERMINE
OF-2024-0415;CMD-2023-0415;BAT-2024-0415;2022-11-25;2022-12-04;2022-12-27;191;191;TERMINE
OF-2023-0416;CMD-2023-0416;BAT-2023-0416;2025-09-03;2025-09-22;2025-12-04;587;200;EN_COURS
OF-2024-0417;CMD-2024-0417;BAT-2024-0417;2024-04-14;2024-04-24;2024-07-06;587;587;TERMINE
OF-2023-0418;CMD-2023-0418;BAT-2023-0418;2024-07-20;2024-08-04;2024-09-22;393;393;TERMINE
OF-2024-0419;CMD-2023-0419;BAT-2024-0419;2023-08-24;2023-09-04;2023-10-07;268;268;TERMINE
OF-2024-0420;CMD-2024-0420;BAT-2024-0420;2022-06-18;2022-06-29;2022-07-11;97;97;TERMINE
OF-2024-0421;CMD-2025-0421;BAT-2024-0421;2024-02-09;2024-03-06;2024-03-18;103;103;TERMINE
OF-2024-0422;CMD-2024-0422;BAT-2024-0422;2022-09-25;2022-10-17;2022-12-18;498;498;TERMINE
OF-2023-0423;CMD-2023-0423;BAT-2023-0423;2025-10-18;2025-10-29;2025-12-12;356;193;EN_COURS
OF-2023-0424;CMD-2025-0424;BAT-2023-0424;2025-03-23;2025-04-20;2025-05-14;193;193;TERMINE
OF-2023-0425;CMD-2025-0425;BAT-2023-0425;2022-12-16;2023-01-05;2023-03-07;494;494;TERMINE
OF-2025-0426;CMD-2025-0426;BAT-2025-0426;2024-11-18;2024-12-16;2025-02-17;511;511;TERMINE
OF-2024-0427;CMD-2026-0427;BAT-2024-0427;2024-07-23;2024-08-07;2024-08-20;104;104;TERMINE
OF-2023-0428;CMD-2025-0428;BAT-2023-0428;2025-03-17;2025-03-25;2025-06-05;582;143;EN_COURS
OF-2024-0429;CMD-2023-0429;BAT-2024-0429;2024-03-15;2024-04-10;2024-05-06;210;210;TERMINE
OF-2025-0430;CMD-2025-0430;BAT-2025-0430;2023-07-08;2023-07-29;2023-08-13;120;120;TERMINE
OF-2025-0431;CMD-2024-0431;BAT-2025-0431;2023-01-19;2023-01-30;2023-02-10;89;89;TERMINE
OF-2024-0432;CMD-2023-0432;BAT-2024-0432;2022-01-30;2022-02-17;2022-04-10;416;416;TERMINE
OF-2025-0433;CMD-2025-0433;BAT-2025-0433;2023-05-25;2023-06-10;2023-08-10;492;492;TERMINE
OF-2023-0434;CMD-2025-0434;BAT-2023-0434;2022-09-06;2022-09-21;2022-10-16;201;201;TERMINE
OF-2023-0435;CMD-2025-0435;BAT-2023-0435;2024-02-27;2024-03-23;2024-04-21;235;235;TERMINE
OF-2026-0436;CMD-2025-0436;BAT-2026-0436;2026-01-07;2026-02-02;2026-02-17;125;0;TERMINE
OF-2023-0437;CMD-2024-0437;BAT-2023-0437;2025-01-26;2025-02-15;2025-04-27;571;571;TERMINE
OF-2024-0438;CMD-2024-0438;BAT-2024-0438;2025-11-02;2025-11-16;2025-12-27;335;0;TERMINE
OF-2023-0439;CMD-2025-0439;BAT-2023-0439;2024-12-07;2024-12-16;2025-02-04;405;405;TERMINE
OF-2024-0440;CMD-2024-0440;BAT-2024-0440;2025-03-20;2025-04-05;2025-05-04;233;233;TERMINE
OF-2025-0441;CMD-2024-0441;BAT-2025-0441;2023-02-21;2023-03-10;2023-04-19;324;324;TERMINE
OF-2024-0442;CMD-2024-0442;BAT-2024-0442;2023-08-04;2023-08-29;2023-10-12;359;359;TERMINE
OF-2024-0443;CMD-2025-0443;BAT-2024-0443;2023-07-01;2023-07-28;2023-08-09;96;96;TERMINE
OF-2024-0444;CMD-2025-0444;BAT-2024-0444;2024-11-17;2024-12-08;2025-01-23;375;375;TERMINE
OF-2023-0445;CMD-2025-0445;BAT-2023-0445;2024-10-14;2024-10-29;2024-12-19;412;412;TERMINE
OF-2025-0446;CMD-2024-0446;BAT-2025-0446;2023-10-01;2023-10-13;2023-11-20;307;307;TERMINE
OF-2024-0447;CMD-2025-0447;BAT-2024-0447;2025-06-23;2025-07-03;2025-07-30;222;37;EN_COURS
OF-2025-0448;CMD-2023-0448;BAT-2025-0448;2023-12-10;2024-01-04;2024-01-16;98;98;TERMINE
OF-2023-0449;CMD-2023-0449;BAT-2023-0449;2022-05-05;2022-05-26;2022-06-27;257;257;TERMINE
OF-2024-0450;CMD-2024-0450;BAT-2024-0450;2024-12-05;2024-12-16;2025-02-22;549;549;TERMINE
OF-2024-0451;CMD-2025-0451;BAT-2024-0451;2025-03-08;2025-04-07;2025-06-10;517;0;PLANIFIE
OF-2025-0452;CMD-2025-0452;BAT-2025-0452;2022-01-24;2022-02-15;2022-04-20;519;519;TERMINE
OF-2024-0453;CMD-2026-0453;BAT-2024-0453;2023-10-02;2023-10-21;2023-11-05;127;127;TERMINE
OF-2024-0454;CMD-2024-0454;BAT-2024-0454;2025-07-22;2025-08-07;2025-10-05;472;0;PLANIFIE
OF-2024-0455;CMD-2024-0455;BAT-2024-0455;2023-09-26;2023-10-18;2023-11-16;232;232;TERMINE
OF-2024-0456;CMD-2026-0456;BAT-2024-0456;2022-12-01;2022-12-18;2023-01-09;183;183;TERMINE
OF-2023-0457;CMD-2023-0457;BAT-2023-0457;2024-11-09;2024-11-28;2025-01-30;508;508;TERMINE
OF-2024-0458;CMD-2025-0458;BAT-2024-0458;2023-07-20;2023-07-29;2023-10-03;532;532;TERMINE
OF-2024-0459;CMD-2023-0459;BAT-2024-0459;2025-07-01;2025-07-17;2025-09-25;564;0;TERMINE
OF-2025-0460;CMD-2024-0460;BAT-2025-0460;2022-01-31;2022-02-08;2022-04-11;502;502;TERMINE
OF-2024-0461;CMD-2024-0461;BAT-2024-0461;2022-10-26;2022-11-06;2022-12-16;320;320;TERMINE
